Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-03-21,2.194731957,2.209461702,2.176320001,2.180002213,6934400,0,0
1990-03-22,2.180000772,2.183683431,2.1284467,2.135811567,11059200,0,0
1990-03-23,2.150542207,2.183684349,2.150542207,2.183684349,6980800,0,0
1990-03-26,2.187365725,2.213142987,2.187365725,2.191048384,6377600,0,0
1990-03-27,2.191049095,2.224190786,2.183684225,2.220508575,4960000,0,0
1990-03-28,2.220507389,2.23891933,2.213142523,2.235237122,8868800,0,0
1990-03-29,2.235237762,2.235237762,2.209460498,2.224190235,4139200,0,0
1990-03-30,2.220507422,2.220507422,2.194730165,2.202095032,6723200,0,0
1990-04-02,2.202097039,2.238921404,2.187367293,2.238921404,8150400,0,0
1990-04-03,2.238919625,2.286791487,2.238919625,2.275743961,7921600,0,0
1990-04-04,2.275744869,2.294157269,2.268379998,2.279427528,9377600,0,0
1990-04-05,2.279427455,2.301522064,2.279427455,2.283109665,10656000,0,0
1990-04-06,2.283109025,2.297838761,2.279426816,2.294156551,4737600,0,0
1990-04-09,2.294158243,2.334664822,2.290475582,2.334664822,7606400,0,0
1990-04-10,2.334662286,2.367804404,2.323615213,2.360439539,8307200,0,0
1990-04-11,2.360440538,2.389900012,2.356757879,2.356757879,10440000,0,0
1990-04-12,2.356758355,2.378852964,2.356758355,2.371488094,6596800,0,0
1990-04-16,2.371488168,2.393582778,2.356758428,2.367805958,7896000,0,0
1990-04-17,2.367804094,2.375168958,2.356756573,2.364121437,8779200,0,0
1990-04-18,2.364124315,2.367806976,2.327299948,2.334664822,8091200,0,0
1990-04-19,2.323616749,2.323616749,2.275744869,2.279427528,10492800,0,0
1990-04-20,2.279427652,2.283109862,2.238920639,2.25733304,20001600,0,0
1990-04-23,2.257332207,2.268379284,2.235237604,2.264697075,9352000,0,0
1990-04-24,2.264697716,2.283109666,2.264697716,2.268379927,6596800,0,0
1990-04-25,2.268379927,2.279427456,2.261015057,2.268379927,6534400,0,0
1990-04-26,2.268379927,2.279427456,2.253650187,2.268379927,4376000,0,0
1990-04-27,2.268380054,2.268380054,2.213143752,2.216825962,7225600,0,0
1990-04-30,2.216826428,2.261015659,2.213144217,2.246285915,5819200,0,0
1990-05-01,2.246284726,2.297838801,2.246284726,2.261014462,11180800,0,0
1990-05-02,2.264697788,2.290474609,2.264697788,2.279427528,10331200,0,0
1990-05-03,2.279426507,2.308885974,2.279426507,2.297838449,10083200,0,0
1990-05-04,2.297840234,2.31625264,2.294158023,2.305205107,8049600,0,0
1990-05-07,2.305204152,2.323616551,2.305204152,2.319933891,9718400,0,0
1990-05-08,2.319934434,2.345711708,2.312569563,2.345711708,10569600,0,0
1990-05-09,2.345711112,2.36412306,2.330981373,2.353075981,10776000,0,0
1990-05-10,2.35307567,2.360440538,2.342028143,2.356757879,10272000,0,0
1990-05-11,2.360440433,2.459865927,2.360440433,2.452501059,26448000,0,0
1990-05-14,2.533514488,2.533514488,2.445136076,2.474595547,12905600,0,2
1990-05-15,2.474595904,2.489325642,2.445136429,2.467231035,9708000,0,0
1990-05-16,2.467231036,2.50405538,2.44513643,2.481960773,6830400,0,0
1990-05-17,2.489326589,2.526150947,2.489326589,2.511421204,7936000,0,0
1990-05-18,2.511421804,2.511421804,2.481962311,2.504056931,13655200,0,0
1990-05-21,2.504056665,2.599800008,2.496691792,2.562975645,11081600,0,0
1990-05-22,2.562975645,2.60716488,2.5482459,2.562975645,9773600,0,0
1990-05-23,2.562973182,2.643986702,2.562973182,2.643986702,8370400,0,0
1990-05-24,2.643987424,2.695541496,2.643987424,2.673446894,10206400,0,0
1990-05-25,2.658718855,2.658718855,2.577705261,2.585070133,6554400,0,0
1990-05-29,2.58506952,2.695542577,2.57770465,2.680812836,6836000,0,0
1990-05-30,2.680813323,2.702907938,2.636624093,2.651353836,8861600,0,0
1990-05-31,2.651352526,2.680811998,2.636622789,2.658717394,10946400,0,0
1990-06-01,2.658717038,2.688176507,2.643987304,2.666081905,9704800,0,0
1990-06-04,2.666082389,2.747095942,2.651352652,2.739731073,10760800,0,0
1990-06-05,2.73973324,2.761827863,2.68817912,2.710273743,8819200,0,0
1990-06-06,2.710271231,2.717636099,2.658717159,2.673446894,10065600,0,0
1990-06-07,2.673447973,2.688177714,2.61452901,2.636623621,5696800,0,0
1990-06-08,2.63662218,2.651351913,2.592432981,2.607162714,10308000,0,0
1990-06-11,2.619000793,2.648594022,2.604204178,2.633797407,7884000,0.025,0
1990-06-12,2.63379618,2.700380914,2.611601268,2.685584307,9067200,0,0
1990-06-13,2.685584483,2.722576004,2.670787874,2.678186178,8102400,0,0
1990-06-14,2.670788404,2.670788404,2.633796875,2.655991793,4916800,0,0
1990-06-15,2.65599328,2.6707899,2.61160342,2.66339159,17791200,0,0
1990-06-18,2.65599142,2.65599142,2.596804982,2.611601591,6411200,0,0
1990-06-19,2.611603442,2.641196682,2.574611891,2.604205132,7148800,0,0
1990-06-20,2.604203286,2.633796505,2.567211762,2.611601591,5858400,0,0
1990-06-21,2.611601715,2.63379663,2.574610189,2.626398325,4329600,0,0
1990-06-22,2.626399039,2.663390575,2.552415967,2.567212582,8965600,0,0
1990-06-25,2.567213305,2.589408232,2.508026831,2.537620068,7290400,0,0
1990-06-26,2.545017838,2.596805991,2.545017838,2.559814453,5352000,0,0
